"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"29","123","2 Alivë","Doublë","54,272,077","18,356","100,664,445"
"77","201","2093","Lyfestylë (with Lil Wayne)","17,756,195","18,172","32,934,385"
"31","22","Up 2 Më","Ya Ya","52,562,256","18,032","97,493,050"
"37","14","Up 2 Më","Rokstar","42,541,667","17,959","78,906,751"
"188","59","LYFESTYLE","SO WHAT","3,575,733","17,913","6,632,308"
"36","139","2 Alivë","Still countin","43,303,771","17,338","80,320,310"
"93","197","2093","Familia","14,102,554","17,051","26,157,572"
"49","144","2 Alivë","Hatër","30,934,981","16,997","57,378,543"
"94","188","King tonka","King tonka","14,081,794","16,390","26,119,066"
"62","160","Lyfë","Up off X","24,791,969","16,300","45,984,416"
"193","53","LYFESTYLE","LYFE PARTY","3,147,388","16,246","5,837,809"
"192","50","LYFESTYLE","GOD TALKIN SHHH","3,205,701","16,188","5,945,969"
"46","10","Up 2 Më","Lying 4 fun","34,877,714","15,941","64,691,567"
"57","247","Features","Fuk Tha Clout (feat. Yeat)","27,235,214","15,243","51,464,940"
"191","44","LYFESTYLE","ELIMINATË","3,237,585","15,222","6,005,108"
"78","194","2093","As We Speak (feat. Drake)","17,566,148","14,781","32,581,884"
"56","245","Features","5 2 Üh 60 (feat. Yeat)","27,500,749","14,760","51,008,691"
"66","9","Up 2 Më","Kant changë","21,932,886","14,653","40,681,358"
"59","131","2 Alivë","Nvr again","26,996,641","14,652","50,073,666"
"40","3","Up 2 Më","Cmon","37,763,161","14,638","70,043,526"
"43","6","Up 2 Më","Got rich","35,548,881","14,556","65,936,455"
"73","124","2 Alivë","Gëek high (feat. Ken Carson)","19,145,064","14,432","35,510,475"
"50","161","Lyfë","Wat it feel lykë","30,647,789","14,280","56,845,856"
"196","55","LYFESTYLE","LYING 5 FUN","3,065,727","13,763","5,686,344"
"47","90","Trëndi","Fukit","34,198,192","13,473","63,431,182"
"104","195","2093","Bought The Earth","12,873,786","13,471","23,878,439"
"64","100","Alivë","Diëd B4","24,343,053","13,307","45,151,762"
"35","143","2 Alivë","Dub","44,577,011","13,299","82,681,930"
"72","179","AftërLyfe","Shhhh","19,469,541","13,127","36,112,318"
"117","210","2093","Run Thëy Mouth","11,061,979","12,954","20,517,880"
"58","136","2 Alivë","Rollin","27,148,900","12,740","50,356,078"
"85","184","AftërLyfe","Type monëy","15,943,438","12,403","29,572,064"
"134","192","2093","1093","9,090,416","12,092","16,861,003"
"63","133","2 Alivë","Outsidë (feat. Young Thug)","24,485,539","11,900","45,416,047"
"148","298","Features","Cruisin' (feat. Yeat)","8,128,340","11,262","16,024,160"
"119","204","2093","Never quit","10,817,043","11,259","20,063,570"
"60","145","2 Alivë","Kant rëlax","26,759,332","10,877","49,633,503"
"68","140","2 Alivë","Taliban","20,809,559","10,833","38,597,798"
"133","211","2093","Shade","9,125,051","10,606","16,925,244"
"107","172","AftërLyfe","Hëavyweight","12,324,267","10,430","22,859,185"
"65","137","2 Alivë","Rëal six","22,509,717","10,319","41,751,270"
"144","213","2093","Team ceo","8,696,704","10,315","16,130,742"
